Processes: 387 total, 3 running, 384 sleeping, 2586 threads 
2020/09/09 10:04:07
Load Avg: 2.41, 2.65, 2.77 
CPU usage: 6.84% user, 12.70% sys, 80.45% idle 
SharedLibs: 135M resident, 40M data, 16M linkedit.
MemRegions: 144043 total, 2227M resident, 53M private, 850M shared.
PhysMem: 8140M used (1677M wired), 50M unused.
VM: 1869G vsize, 1883M framework vsize, 29651980(0) swapins, 30319546(0) swapouts.
Networks: packets: 4338384/2599M in, 3143144/1589M out.
Disks: 6390050/212G read, 3316156/147G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS     %CPU_ME %CPU_OTHRS UID FAULTS    COW    MSGSENT   MSGRECV   SYSBSD   SYSMACH   CSW       PAGEINS IDLEW   POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
36868  Dropbox          0.0  00:00.03 2     1   39     2064K 0B    2048K 36863 36863 sleeping *0[1]      0.00000 0.00000    502 1813      149    98        17        792      254       158       5       1       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36867  Dropbox          0.0  00:00.02 4     1   27     1316K 0B    1304K 36866 1     sleeping *0[1]      0.00000 0.00000    502 1488      171    43        18        503      122       58        0       1       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36863  Dropbox          0.0  00:17.88 141   1   546    270M  0B    222M  36863 1     sleeping *0[157]    0.00000 0.00000    502 240934    9159   14095     3200      666653   47173     230018    3299    5075    0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36727  keyboardservices 0.0  00:00.04 2     1   43     1940K 0B    1920K 36727 1     sleeping *0[1]      0.00000 0.00000    502 2354      217    178       55        1841     428       246       76      3       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36725  ctkd             0.0  00:00.02 2     1   20     2552K 0B    2540K 36725 1     sleeping *0[1]      0.00000 0.00000    259 1300      143    78        33        529      173       51        0       2       0.0   0      0      _ctkd              N/A    N/A   N/A   N/A   N/A   N/A  
36724  ctkd             0.0  00:00.04 2     1   39     2968K 0B    2948K 36724 1     sleeping *0[2]      0.00000 0.00000    502 1858      156    240       58        926      449       193       45      5       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36685  CoreSpotlightSer 0.0  00:00.38 4     2   42     4644K 0B    4624K 36685 1     sleeping  0[0]      0.00000 0.00000    502 5387      193    1975      849       8839     2197      2696      773     32      0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36636  ContainerMetadat 0.0  00:00.14 2     1   57     2608K 0B    2580K 36636 1     sleeping *0[3]      0.00000 0.00000    502 4907      206    779       126       2759     1435      833       11      4       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36630  com.apple.notifi 0.0  00:00.03 2     1   37     1060K 0B    1048K 36630 1     sleeping *0[2]      0.00000 0.00000    502 1721      165    141       42        615      312       272       72      1       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
36616  trustd           0.0  00:00.14 2     1   27     3264K 0B    3252K 36616 1     sleeping *0[44]     0.00000 0.00000    89  1967      157    362       86        3264     931       414       6       11      0.0   0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A  
35639  trustd           0.0  00:00.33 2     1   32     6840K 0B    6824K 35639 1     sleeping *0[52]     0.00000 0.00000    501 4424      198    606       151       6609     1587      1431      32      39      0.0   0      0      Kata               N/A    N/A   N/A   N/A   N/A   N/A  
35231  distnoted        0.0  00:00.02 2     1   36     2484K 0B    2248K 35231 1     sleeping *0[1]      0.00000 0.00000    501 1274      100    155       65        418      328       102       5       0       0.0   0      0      Kata               N/A    N/A   N/A   N/A   N/A   N/A  
35230  secd             0.0  00:00.12 2     1   59     4372K 0B    4356K 35230 1     sleeping *0[1]      0.00000 0.00000    501 3211      298    267       73        5737     868       779       265     6       0.0   0      0      Kata               N/A    N/A   N/A   N/A   N/A   N/A  
35229  lsd              0.0  00:00.14 2     1   56     2028K 0B    2012K 35229 1     sleeping *0[11]     0.00000 0.00000    501 4810      188    359       113       2594     643       946       1513    11      0.0   0      0      Kata               N/A    N/A   N/A   N/A   N/A   N/A  
35228  cfprefsd         0.0  00:00.02 2     1   30     728K  0B    716K  35228 1     sleeping *0[10]     0.00000 0.00000    501 857       98     241       79        1173     439       189       5       5       0.0   0      0      Kata               N/A    N/A   N/A   N/A   N/A   N/A  
34742  sandboxd         0.0  00:00.09 3     2   34     1140K 0B    1068K 34742 1     sleeping *0[1]      0.00000 0.00000    0   1300      151    123       33        4277     293       1812      39      398     0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
34687  smd              0.0  00:00.00 2     1   15     580K  0B    572K  34687 1     sleeping  0[0]      0.00000 0.00000    0   615       120    66        32        298      133       62        2       0       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
34657  AMPLibraryAgent  0.0  00:00.53 6     1   122    13M   0B    11M   34657 1     sleeping *0[7]      0.00000 0.00000    502 20348     350    1157      307       6344     2705      4205      2332    248     0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
34656  media-indexer    0.0  00:00.05 2     1   56     1988K 0B    1968K 34656 1     sleeping *0[3]      0.00000 0.00000    502 2757      200    234       63        985      490       551       71      2       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
34648  sysdiagnose      0.0  00:00.03 2     1   31     1400K 0B    1376K 34648 1     sleeping *0[1]      0.00000 0.00000    0   1427      176    101       40        584      209       411       83      1       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
34647  silhouette       0.0  00:00.11 2     1   55     5432K 0B    5412K 34647 1     sleeping  0[0]      0.00000 0.00000    502 2820      158    164       48        1071     392       841       70      0       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
34575  periodic-wrapper 0.0  00:00.00 2     1   26     440K  0B    428K  34575 1     sleeping *0[1]      0.00000 0.00000    0   399       80     80        34        248      175       54        1       0       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
34569  transparencyd    0.0  00:00.08 2     1   46     3468K 0B    3440K 34569 1     sleeping  0[0]      0.00000 0.00000    502 2482      182    171       51        1792     489       559       165     1       0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
34561  tzd              0.0  00:00.02 2     1   42     1652K 0B    1628K 34561 1     sleeping  0[0]      0.00000 0.00000    0   1409      180    101       37        576      255       211       31      0       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
34555  appstoreagent    0.0  00:00.50 4     2   98     7696K 0B    6968K 34555 1     sleeping *0[5]      0.00000 0.00000    502 7552      405    960       219       10016    2209      5182      948     253     0.0   0      0      wadkan             N/A    N/A   N/A   N/A   N/A   N/A  
